"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","type"
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.000141143260409315,0.00205808278771978,0.601742590521544,2.1304050540097,0,112,"MMP9 CXCR4 CLDN7 VCAM1 ICAM1 NCF2 NCF4 ITGB2 CYBA PECAM1 CLDN19 CD99 RAC2 MYL12A EZR CLDN22 CYBB VASP CLDN5 PIK3R5 SIPA1 ITGAM CLDN15 ITGAL NOX1 ESAM PXN CDH5 NCF1 CLDN23 CLDN14 MYLPF PLCG2 ITGB1 RHOH MSN ROCK1 ARHGAP5 RAP1A MMP2 CLDN9 PIK3CG CLDN2 JAM2 F11R RAP1B VAV1 OCLN CLDN10 RAPGEF3 VAV3 GNAI3","c2.cp"
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",0.000158227848101266,0.00205808278771978,0.714893720141805,2.17830298177106,0,44,"CXCR4 IL6 HLA-DRA CCR9 CD86 HLA-DMB HLA-DRB1 HLA-DRB5 HLA-DQA1 PIGR TGFB1 CCL27 HLA-DPA1 IL10 CD40LG HLA-DQB1 CD28 IL15RA LTBR HLA-DPB1 HLA-DMA CD40","c2.cp"
"KEGG_TYPE_I_DIABETES_MELLITUS",0.000160926939169617,0.00205808278771978,0.671814891387098,1.98906047709715,0,38,"LTA HLA-DRA CD86 HLA-G HLA-DMB HLA-DRB1 TNF HLA-DRB5 HLA-DQA1 IL1B HLA-DPA1 FASLG HLA-DQB1 CD28 HLA-DPB1 HLA-DMA HLA-E IL12A FAS HLA-B HLA-DOA CD80 HLA-DQA2 HLA-C HSPD1","c2.cp"
"KEGG_LEISHMANIA_INFECTION",0.000150852315583044,0.00205808278771978,0.741087959529953,2.4393213788356,0,69,"FCGR3B FCGR2C TLR2 FCGR2A FCGR1A CR1 HLA-DRA FCGR3A NFKBIA NCF2 HLA-DMB NCF4 ITGB2 HLA-DRB1 CYBA TNF HLA-DRB5 HLA-DQA1 IL1B TGFB1 HLA-DPA1 IL10 FOS HLA-DQB1 HLA-DPB1 HLA-DMA TLR4 C3 RELA PTPN6 ITGAM IL12A TGFB2 NCF1 MYD88 IFNGR1 TGFB3 ITGB1","c2.cp"
"KEGG_PATHWAYS_IN_CANCER",0.000121036068748487,0.00205808278771978,0.460936073665467,1.82227779231296,0,313,"MMP9 WNT6 GLI1 IL6 CDK2 BMP4 CDKN1A RUNX1 NFKBIA FZD2 NFKB2 HGF FGF23 PGF FGF2 GLI2 RAC2 COL4A6 TGFB1 MYC FASLG FOS CSF1R TGFBR2 LAMB2 FZD9 BIRC3 EGFR CSF3R PIK3R5 FOXO1 WNT16 SPI1 RELA PDGFRB FGF11 STAT5A MECOM CDH1 TCF7L1 TGFB2 FAS FLT3LG CDKN2A VEGFA CSF2RA ERBB2 FGF17 LEF1 FZD1 SMO CDKN2B WNT3 TGFB3 PAX8 LAMB4 PLCG2 ITGB1 SLC2A1 JUP BCL2 HDAC1 FN1 TGFBR1 LAMA2 ITGA6 ITGAV MMP2 PIK3CG SMAD4 CTBP2 EGLN3 RXRG VEGFC CKS1B GSTP1 FZD8 LAMA3 STAT3 RXRA FZD4 GLI3 LAMC1 COL4A4 PML PDGFRA RASSF1 FZD5 WNT9B NFKB1 TCF7 FZD10 CCND1 EGLN1 ETS1 FZD7 TRAF4 LAMA1 IKBKB BIRC5 LAMA4 WNT5B JUN CDK4 MAX TP53 ARAF CDKN1B RB1 EPAS1 VEGFB PTCH1 FGF18 RAD51 COL4A1 RHOA IGF1R TCF7L2 HIF1A WNT5A MSH6","c2.cp"
"KEGG_ASTHMA",0.000169405387091309,0.00205808278771978,0.818305641689072,2.23245180909143,0,25,"FCER1A RNASE3 FCER1G IL9 HLA-DRA HLA-DMB HLA-DRB1 TNF HLA-DRB5 HLA-DQA1 HLA-DPA1 IL10 CD40LG HLA-DQB1 HLA-DPB1 HLA-DMA CD40","c2.cp"
"KEGG_AUTOIMMUNE_THYROID_DISEASE",0.000159616919393456,0.00205808278771978,0.650167463245552,1.95588385550101,0,41,"IFNA2 HLA-DRA CD86 HLA-G HLA-DMB HLA-DRB1 HLA-DRB5 HLA-DQA1 HLA-DPA1 IL10 CD40LG FASLG HLA-DQB1 CD28 HLA-DPB1 HLA-DMA CD40 HLA-E FAS HLA-B TG HLA-DOA CD80 HLA-DQA2 HLA-C","c2.cp"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.000144341801385681,0.00205808278771978,0.735161874093619,2.55936888022524,0,100,"FCGR3B FCGR2B HIST1H2AD C7 FCGR2C HIST2H2AA3 FCGR2A C1QB C1QA FCGR1A HIST1H3H C4B HIST1H2AE HLA-DRA HIST1H2BH HIST1H2BD C1QC CD86 FCGR3A HIST1H2AM HLA-DMB HIST1H2BF HLA-DRB1 TNF HLA-DRB5 C1R HIST1H4C HLA-DQA1 HIST1H2AC HIST1H3D C4A HLA-DPA1 IL10 C1S CD40LG HIST1H2AG HLA-DQB1 HIST1H2BJ CD28 C6 HLA-DPB1 HLA-DMA HIST2H2AA4 C3 H2AFB2 HIST1H4E CD40 C2 H2BFM HIST2H2BE H2AFB3 HIST1H3E HIST1H4H HIST1H2BG HIST2H4B H2AFJ H3F3A HIST3H2A HIST2H2BF TRIM21 HIST1H4I HLA-DOA","c2.cp"
"KEGG_ALLOGRAFT_REJECTION",0.00016493485073396,0.00205808278771978,0.753172881655671,2.16831188085328,0,33,"HLA-DRA CD86 HLA-G HLA-DMB HLA-DRB1 TNF HLA-DRB5 HLA-DQA1 HLA-DPA1 IL10 CD40LG FASLG HLA-DQB1 CD28 HLA-DPB1 HLA-DMA CD40 HLA-E IL12A FAS HLA-B HLA-DOA CD80 HLA-DQA2 HLA-C","c2.cp"
"KEGG_GRAFT_VERSUS_HOST_DISEASE",0.00016627868307283,0.00205808278771978,0.767284646869615,2.18302255392188,0,31,"IL6 HLA-DRA CD86 HLA-G HLA-DMB HLA-DRB1 TNF HLA-DRB5 HLA-DQA1 IL1B HLA-DPA1 FASLG HLA-DQB1 CD28 HLA-DPB1 HLA-DMA HLA-E FAS HLA-B HLA-DOA CD80 HLA-DQA2 HLA-C","c2.cp"
"KEGG_PRIMARY_IMMUNODEFICIENCY",0.000164095831965868,0.00205808278771978,0.677836786014905,1.96193072944164,0,34,"CD3E PTPRC IGLL1 IL2RG CD79A LCK CD40LG CD4 BTK CD40 UNG BLNK CD3D TAP1 CIITA IL7R ADA RAG2","c2.cp"
"BIOCARTA_ALK_PATHWAY",0.000163746520386442,0.00205808278771978,0.687408284178892,1.99919117358088,0,35,"BMP5 NKX2-5 GATA4 BMP4 TGFBR3 SMAD6 TGFB1 TGFBR2 TGFB2 FZD1 TGFB3 BMPR1A SMAD5 TGFBR1 SMAD4 BMP7","c2.cp"
"BIOCARTA_COMP_PATHWAY",0.000179726815240834,0.00205808278771978,0.840086258261259,2.06772638747175,0,16,"C7 C1QB C1QA C4B C1QC CFB C1R C4A C1S C6 C3 CFD C2","c2.cp"
"BIOCARTA_INFLAM_PATHWAY",0.000171203561034069,0.00205808278771978,0.748450125552743,2.00244271457191,0,23,"CSF3 IL6 LTA HLA-DRA HLA-DRB1 TNF TGFB1 CSF1 IL10 CD4 IL12A TGFB2 TGFB3 IL7 IL15","c2.cp"
"BIOCARTA_DC_PATHWAY",0.000176803394625177,0.00205808278771978,0.781751419131079,1.97879922233236,0,18,"TLR2 ANPEP CD2 TLR7 CD7 IL10 CD33 TLR4 CD40 IL12A","c2.cp"
"BIOCARTA_TOB1_PATHWAY",0.000178348492955235,0.00205808278771978,0.800125490125074,1.99748480666835,0,17,"CD3E TGFBR3 TGFB1 IL2RA CD28 TGFBR2 TOB1 TGFB2 CD3D TGFB3 TGFBR1 SMAD4 TOB2","c2.cp"
"BIOCARTA_NKT_PATHWAY",0.000169405387091309,0.00205808278771978,0.739690328459277,2.01797828074096,0,25,"CCR2 CXCR4 IL18R1 CCR5 IL4R CCR1 CCL3 TGFB1 CD40LG CD4 CD28 CCL4 IL12A TGFB2 IFNGR1 TGFB3","c2.cp"
"BIOCARTA_TH1TH2_PATHWAY",0.000178348492955235,0.00205808278771978,0.800466346606309,1.99833574274141,0,17,"IL18 IL18R1 HLA-DRA CD86 IL4R HLA-DRB1 IL2RA CD40LG CD28 CD40 IL12A IFNGR1","c2.cp"
"SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES",0.000163746520386442,0.00205808278771978,0.658327414560467,1.9146152102134,0,35,"PITX2 PTPRC SYK DAPP1 BTK PIK3R5 CDKN2A ITPR2 LYN PLCG2 ITPR3 GAB1 VAV1","c2.cp"
"SA_MMP_CYTOKINE_CONNECTION",0.000180603214737222,0.00205808278771978,0.83710163327642,2.02902515056192,0,15,"SELL FCGR3A CD44 TNFRSF1A TNFRSF1B TNF IL1B TGFB1 CSF1 TNFRSF8 TGFB2 TNFSF8 IL6R","c2.cp"
"PID_SMAD2_3NUCLEAR_PATHWAY",0.000148566334868519,0.00205808278771978,0.666752888642754,2.23962157826374,0,80,"NKX2-5 FOXH1 IGHA1 COL1A2 GATA3 CDK2 CDKN1A RUNX1 IRF7 RUNX3 TGIF1 MYC IL10 FOS SERPINE1 CEBPB FOXO1 CBFB TGIF2 SP1 CDKN2B HDAC1 ITGB5 SMAD4 E2F5 FOXO4 RUNX2 KAT2B RBL1 ATF3 LAMC1 SAP30 TCF3 JUN CDK4 MAX SKIL SMAD7 SP3","c2.cp"
"PID_INTEGRIN1_PATHWAY",0.000152439024390244,0.00205808278771978,0.657324642088443,2.13305425871678,0,63,"F13A1 COL1A1 COL2A1 COL1A2 CD14 NID1 VCAM1 ITGA10 COL6A2 COL6A3 COL4A6 ITGA5 SPP1 COL3A1 PLAUR ITGA1 LAMB2 TGFBI NPNT TGM2 VEGFA ITGB1 PLAU FN1 LAMA2 ITGA6 ITGAV CSPG4 THBS1 JAM2 LAMA3 COL5A1 MDK LAMC1 COL4A4","c2.cp"
"PID_IL4_2PATHWAY",0.000153280196198651,0.00205808278771978,0.723075692799046,2.33291444883919,0,61,"IGHG1 CCL26 SOCS3 COL1A1 FCER2 COL1A2 TFF3 LTA IL2RG IL4R DOK2 BCL6 PIGR CCL17 IL10 CD40LG ARG1 IL13RA1 CEBPB SPI1 PTPN6 INPP5D STAT5A FES SELP SP1","c2.cp"
"PID_IL12_2PATHWAY",0.000153280196198651,0.00205808278771978,0.659702379777559,2.12844827871207,0,61,"IL18 CD3E GADD45B IL18R1 IL18RAP CCR5 HLA-DRA IL2RG NFKB2 IL1R1 HLA-DRB1 CCL3 LCK IL1B IL2RA GADD45G FASLG FOS CD4 CCL4 HLX RELA STAT5A IL12A B2M CD3D","c2.cp"
"PID_FRA_PATHWAY",0.000164095831965868,0.00205808278771978,0.777633113194419,2.25078120940747,0,34,"MMP9 CCL2 COL1A2 IL6 DCN LIF MGP FOSL1 GJA1 HMOX1 NOS3 PLAUR ITGB4 CCNA2 JUNB NFATC2 FOSL2 THBD CDKN2A SP1 NFATC1 PLAU MMP2","c2.cp"
"PID_ANGIOPOIETIN_RECEPTOR_PATHWAY",0.00015617679212869,0.00205808278771978,0.645313198868379,2.01294509724768,0,50,"AGTR1 ANGPT2 CDKN1A DOK2 TNF ANGPT1 FGF2 NOS3 ITGA5 ELF1 FOXO1 RELA STAT5A TNIP2 FES PXN GRB14 ITGB1 FN1 BMX MMP2 ELK1","c2.cp"
"PID_CXCR4_PATHWAY",0.000144341801385681,0.00205808278771978,0.566871965022424,1.97348980881151,0,100,"MMP9 RGS1 CD3E CXCR4 PTPRC HLA-DRA ITGA10 FGR HLA-DRB1 LCK HCK ITGA5 ITGA1 CD4 PIK3R5 FOXO1 PTPN6 INPP5D STAT5A GNA13 YES1 RHOC PXN CD3D LYN ITGB1 PLCB3 ITGA6 ITGAV PIK3CG RAP1B VAV1 STAT3","c2.cp"
"PID_P53_DOWNSTREAM_PATHWAY",0.000137306055197034,0.00205808278771978,0.624378067017389,2.2589865611059,0,132,"POU4F2 FOXA1 BCL2A1 POU4F1 TP63 TNFRSF10D DDIT4 LIF EPHA2 GDF15 CDKN1A PERP SFN HGF CASP1 TNFRSF10A DUSP1 TNFRSF10C BCL6 SPP1 SERPINE1 PYCARD IGFBP3 EGFR TP53I3 TNFRSF10B CAV1 VCAN BTG2 CASP6 FAS SH2D1A TP53INP1 HIC1 SNAI2 RNF144B TP53BP2 PMAIP1 CCNG1 MCL1 SP1 GADD45A RPS27L TAP1 BCL2 IRF5 STEAP3 MMP2 SESN1 NDRG1","c2.cp"
"PID_AMB2_NEUTROPHILS_PATHWAY",0.00016,0.00205808278771978,0.672725404969682,2.01164450724035,0,40,"MMP9 IL6 FGR ICAM1 ITGB2 TNF LCK HCK PLAUR CTGF ITGAM YES1 SELP LYN ROCK1 PLAU RAP1A MMP2 JAM2 SELPLG RAP1B TLN1 NFKB1 APOB","c2.cp"
"PID_AP1_PATHWAY",0.000152276534186082,0.00205808278771978,0.645122964687698,2.09784594323561,0,64,"MMP9 CCL2 COL1A2 MT2A IL6 TIMP1 FOSL1 EDN1 GJA1 DUSP1 TGFB1 MYC IL10 FOS ELF1 JUNB NFATC2 FOSL2 MAF GATA2 CBFB CDKN2A SP1 BCL2L11 CYR61 FABP4 NFATC1 PLAU","c2.cp"
"PID_UPA_UPAR_PATHWAY",0.00016273393002441,0.00205808278771978,0.744264164347646,2.17836498799161,0,36,"MMP9 FPR1 FPR2 PDGFD HGF ITGB2 TGFB1 ITGA5 PLAUR SERPINE1 EGFR PDGFRB ITGAM MMP3 FPR3 ITGB1 PLAU FN1 ITGB5 ITGAV","c2.cp"
"PID_IL6_7_PATHWAY",0.000157331655129012,0.00205808278771978,0.640148567256183,1.96249934559273,0,45,"SOCS3 LBP CEBPD IL6 TIMP1 HCK MYC IRF1 FOS TNFSF11 JUNB CEBPB FOXO1 MCL1 IL6R GAB1 VAV1 STAT3","c2.cp"
"PID_IL23_PATHWAY",0.000165920026547204,0.00205808278771978,0.719614524100612,2.05704163694749,0,32,"CCL2 CXCL1 SOCS3 IL18 CD3E IL18R1 IL6 IL18RAP NFKBIA TNF IL1B CD4 RELA STAT5A","c2.cp"
"PID_MYC_REPRESS_PATHWAY",0.000153280196198651,0.00205808278771978,0.661443780744393,2.13406669393084,0,61,"COL1A2 CEBPD SLC11A1 CDKN1A ZFP36L1 IRF8 S100A7 MYC ITGB4 SPI1 PDGFRB CCL5 DNTT ERBB2 SP1 CDKN2B TJP2 CLU GADD45A ITGB1 BCL2 HDAC1 ITGA6 SMAD4 NDRG1 RBL1 DKK1 GFI1 CFLAR DDIT3 CCND1 ALDH9A1 MAX CDKN1B","c2.cp"
"PID_ANTHRAX_PATHWAY",0.000178348492955235,0.00205808278771978,0.789778712119167,1.97165444365674,0,17,"IL18 VCAM1 CASP1 TNF PGR IL1B ANTXR2","c2.cp"
"REACTOME_TRANSLATION",0.000134408602150538,0.00205808278771978,0.568983199165188,2.09801366962688,0,155,"EIF4EBP1 RPL26P30 RPL10P9 TRAM1 RPS15P5 RPL34 RPLP1 RPL21 RPL27A RPL36 RPLP2 RPS15A RPS6 RPS26 RPS8 RPL39 EIF3FP3 RPS27 RPS17 RPL35 RPL35A RPS28 RPL11 RPL13A RPL30 RPS3A EEF1D RPL23 RPS13 RPS24 RPS3 RPL9 RPL23A RPL13 EIF3E RPS12 RPL17 RPL27 RPS16 RPL38 RPS21 RPS18 RPL5 RPS25 RPL18 RPL24 RPL18A EEF1A1 RPL23AP42 RPL36A RPS11 RPL12 RPL21P16 SEC11A RPS29 RPL28 RPL8 RPL32 RPS14 RPS19 RPS20 RPS27A RPS4X RPL19 RPL4 EEF1G RPS7 RPL26 RPS2 RPS10 RPSAP9 RPL10 RPS9 RPL22 FAU RPL29 RPL7 RPL6 RPLP0 RPSA RPS5 PABPC1 RPL41 RPL31 RPN2 RPS15 RPL14 RPS4Y1 RPS23 RPL7A RPL3L EIF3G SPCS2 RPL3 EIF2B2 SSR2 SRP14 SRP9 RPL37 RPL10A","c2.cp"
"REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX",0.000154750851129681,0.00205808278771978,0.646377435693093,2.03964867655864,0,53,"RPS15P5 RPS15A RPS6 RPS26 RPS8 EIF3FP3 RPS27 RPS17 RPS28 RPS3A RPS13 RPS24 RPS3 EIF3E RPS12 RPS16 RPS21 RPS18 RPS25 RPS11 RPS29 RPS14 RPS19 RPS20 RPS27A RPS4X RPS7 RPS2 RPS10 RPSAP9 RPS9 FAU RPSA RPS5 RPS15 RPS4Y1 RPS23 EIF3G","c2.cp"
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",0.000153680651605963,0.00205808278771978,0.664446974362911,2.11030553743553,0,55,"FCGR2B CD3E VCAM1 SELL LILRB5 FCGR3A ICAM1 IFITM1 HLA-G TYROBP LILRB3 ITGB2 ICAM2 HCST LILRB2 CD160 CD34 CD40LG C3 LILRB1 ICAM3 ITGAL CDH1 CD40 B2M CD3D HLA-B ITGB1 RAET1E LILRB4","c2.cp"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",0.000140666760444507,0.00205808278771978,0.648117929397019,2.30400759683807,0,116,"RPL26P30 RPL10P9 TRAM1 RPS15P5 RPL34 RPLP1 RPL21 RPL27A RPL36 RPLP2 RPS15A RPS6 RPS26 RPS8 RPL39 RPS27 RPS17 RPL35 RPL35A RPS28 RPL11 RPL13A RPL30 RPS3A RPL23 RPS13 RPS24 RPS3 RPL9 RPL23A RPL13 RPS12 RPL17 RPL27 RPS16 RPL38 RPS21 RPS18 RPL5 RPS25 RPL18 RPL24 RPL18A RPL23AP42 RPL36A RPS11 RPL12 RPL21P16 SEC11A RPS29 RPL28 RPL8 RPL32 RPS14 RPS19 RPS20 RPS27A RPS4X RPL19 RPL4 RPS7 RPL26 RPS2 RPS10 RPSAP9 RPL10 RPS9 RPL22 FAU RPL29 RPL7 RPL6 RPLP0 RPSA RPS5 RPL41 RPL31 RPN2 RPS15 RPL14 RPS4Y1 RPS23 RPL7A RPL3L SPCS2 RPL3 SSR2 SRP14 SRP9 RPL37 RPL10A RPL37A SEC61B","c2.cp"
"REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION",0.000171203561034069,0.00205808278771978,0.743000858080518,1.98786345861755,0,23,"TBX5 TEAD2 YAP1 WWTR1 TEAD4 TEAD3 CTGF PPARA TEAD1 RUNX2 KAT2B RXRA TBL1X","c2.cp"
