SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMTSTPTREF,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,SMAFRZE,SMGTC,SME2MPRT,SMCHMPRS,SMNTRART,SMNUMGPS,SMMAPRT,SMEXNCRT,SM550NRM,SMGNSDTC,SMUNMPRT,SM350NRM,SMRDLGTH,SMMNCPB,SME1MMRT,SMSFLGTH,SMESTLBS,SMMPPD,SMNTERRT,SMRRNANM,SMRDTTL,SMVQCFL,SMMNCV,SMTRSCPT,SMMPPDPR,SMCGLGTH,SMGAPPCT,SMUNPDRD,SMNTRNRT,SMMPUNRT,SMEXPEFF,SMMPPDUN,SME2MMRT,SME2ANTI,SMALTALG,SME2SNSE,SMMFLGTH,SME1ANTI,SMSPLTRD,SMBSMMRT,SME1SNSE,SME1PCTS,SMRRNART,SME1MPRT,SMNUM5CD,SMDPMPRT,SME2PCTS
GTEX-11GS4-3126-SM-5A5LH,1,B1,"2 pieces, no abnormalities",6.2,Brain,Brain - Cortex,1870,959,485,Actual Death,BP-44512,RNA Extraction from Paxgene-derived Lysate Plate Based,10/10/13,LCSET-4423,1/29/14,TrueSeq.v1,USE ME,,0.923669,53776,0.974096,918,0.9391548,0.89394295,0.26052675,25072,0.68518305,0.8452908,76,46.511143,0.00254802,255,41179898,65316653,0.025666011,3006574,69548332,8147830,0.66731846,144538,31499722,65915,0.035347827,0,0.08015299,0.64349294,0.8395508,44753865,0.002881454,13682399,3301322,13878746,237,14134892,7189048,0.002711988,14339063,50.35852,0.043229993,0.95464057,840,0.31481692,50.3562
GTEX-11GSO-2926-SM-5HL73,1,B1,"2 pieces, no abnormalities",6.8,Brain,Brain - Cortex,1870,1037,512,Actual Death,BP-43753,RNA Extraction from Paxgene-derived Lysate Plate Based,9/19/13,LCSET-4806,3/2/14,TrueSeq.v1,USE ME,,0.9392323,53645,0.96518785,907,0.9464557,0.88087296,0.3154777,25044,0.7335936,0.77845037,76,42.518215,0.003387656,185,45405588,58088957,0.034490947,3081835,61375250,6979862,0.6402153,144704,28190530,67623,0.035114877,0,0.08431486,0.6943138,0.8337073,42613685,0.002312352,12255199,3226046,12436673,173,12484328,7129900,0.002854107,12582945,50.19671,0.050212994,0.9536792,834,0.26640645,50.367477
GTEX-11GSP-0011-R10a-SM-5NQ7J,,"B1, A1",,6.6,Brain,Brain - Frontal Cortex (BA9),9834,,,Actual Death,BP-42719,RNA isolation_PAXgene Tissue miRNA,8/26/13,LCSET-4906,3/22/14,TrueSeq.v1,USE ME,,0.94076127,58827,0.9702455,923,0.94694406,0.89990324,0.24502489,24921,0.59414154,0.87662905,76,42.33182,0.003937461,294,32394055,74260656,0.029520046,8300431,78421374,5790868,0.65800864,143918,36088751,65031,0.03613253,0,0.07034226,0.5626188,0.852158,44121340,0.002373942,15888946,4058493,16283084,273,16232827,7005824,0.003160806,16357525,50.19131,0.10584398,0.95312685,823,0.40585846,50.612545
GTEX-11GSP-0011-R5a-SM-57WBE,,"B1, A1",,8.4,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-42768,RNA isolation_PAXgene Tissue miRNA,8/27/13,LCSET-4415,12/21/13,TrueSeq.v1,USE ME,,0.9341752,66680,0.96262586,896,0.9433003,0.86607563,0.3042722,25605,0.7416371,0.7587512,76,40.311264,0.002188034,187,49585374,61108153,0.037028514,4140880,64781228,7397478,0.6302707,146870,29634327,64201,0.03531179,0,0.09655032,0.6995865,0.8169694,45320072,0.002642995,12941971,3137733,13055272,187,13160580,7344106,0.002413314,13338509,50.335728,0.06392099,0.9524254,835,0.25836292,50.217907
GTEX-11GSP-0011-R6b-SM-57WBQ,,"B1, A1",,5.9,Brain,Brain - Nucleus accumbens (basal ganglia),1882,,,Actual Death,BP-42768,RNA isolation_PAXgene Tissue miRNA,8/27/13,LCSET-4415,12/21/13,TrueSeq.v1,USE ME,,0.92984056,102067,0.97133154,765,0.9410365,0.9039511,0.25980812,26360,0.5802004,0.80859125,76,60.51428,0.002305818,414,43370828,104299127,0.028419528,11800638,110834300,12965794,0.6457293,148352,50561282,59774,0.03270705,0,0.06738039,0.54598975,0.850651,60514391,0.002839791,22309689,5825463,22574990,376,22751932,11077896,0.002569628,23200864,50.488472,0.10647099,0.9522324,873,0.41979963,50.295532
GTEX-11GSP-0011-R8b-SM-5NQ79,,"B1, A1",,6.5,Brain,Brain - Hypothalamus,1898,,,Actual Death,BP-42719,RNA isolation_PAXgene Tissue miRNA,8/26/13,LCSET-4906,3/22/14,TrueSeq.v1,USE ME,,0.9365683,75655,0.9689448,810,0.9441473,0.8869624,0.28818986,26556,0.58463246,0.82550997,76,47.377373,0.004194018,366,35929215,85343150,0.030851545,7849622,90391778,6814056,0.66702837,149359,41413535,57179,0.032388143,0,0.081982404,0.5519791,0.83742315,49894376,0.002662552,17905701,4620528,18224741,319,18217408,8488704,0.003434432,18490464,50.371933,0.086840004,0.9517262,855,0.41536754,50.44151
GTEX-11GSP-3226-SM-5986O,1,B1,2 pieces,6.1,Brain,Brain - Cortex,1870,962,374,Actual Death,BP-44902,RNA Extraction from Paxgene-derived Lysate Plate Based,10/22/13,LCSET-4417,1/23/14,TrueSeq.v1,USE ME,,0.8867796,51211,0.9758531,837,0.9088573,0.9108693,0.3066989,25015,0.58098525,0.74055815,76,41.798843,0.003487971,221,29965132,71648036,0.02390289,6859031,78833096,19349600,0.65596473,144540,34208413,60132,0.032665737,0,0.06498371,0.52803266,0.82785016,41626449,0.004431608,15251099,4276179,15521470,245,15896468,6978515,0.003948329,16380115,50.74922,0.087007,0.930935,832,0.41901484,50.439304
GTEX-11H98-0011-R10b-SM-5NQ98,,"B1, A1",,8.1,Brain,Brain - Frontal Cortex (BA9),9834,,,Actual Death,BP-42719,RNA isolation_PAXgene Tissue miRNA,8/26/13,LCSET-4906,3/22/14,TrueSeq.v1,USE ME,,0.943186,69658,0.96202976,924,0.94914657,0.88951117,0.2651335,25333,0.75664246,0.81108415,76,52.12742,0.003712521,240,60679827,68802036,0.03756017,2869667,72488312,5631622,0.6524189,145218,33435609,74600,0.04231299,0,0.07251863,0.7181646,0.8442765,52058540,0.002046233,14368053,3394668,14600963,237,14625922,9212374,0.002884609,14709463,50.14239,0.039587997,0.9551073,835,0.24335758,50.401997
GTEX-11H98-0011-R5b-SM-57WCF,,"B1, A1",,7.4,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-42768,RNA isolation_PAXgene Tissue miRNA,8/27/13,LCSET-4415,12/21/13,TrueSeq.v1,USE ME,,0.9361226,81776,0.96069187,788,0.94537866,0.89026374,0.30595776,25409,0.72025794,0.7406526,76,49.841602,0.002056058,303,52241570,71038548,0.038933735,3881885,75142954,8754472,0.6250972,146334,34508597,55068,0.031381033,0,0.0704281,0.6809165,0.84163636,51166077,0.002514486,14912121,3967270,15034255,269,15160659,9511609,0.002283028,15372730,50.34728,0.05166,0.95463485,866,0.27974212,50.203922
GTEX-11H98-0011-R8a-SM-5NQ8V,,"B1, A1",,7.7,Brain,Brain - Hypothalamus,1898,,,Actual Death,BP-42719,RNA isolation_PAXgene Tissue miRNA,8/26/13,LCSET-4906,3/22/14,TrueSeq.v1,USE ME,,0.9475785,73944,0.97247386,803,0.95349234,0.8999278,0.2769674,25155,0.6692134,0.7799884,76,54.267223,0.003650414,505,40402936,69081969,0.027244244,2317506,72451522,5663122,0.6075284,145542,33619044,54805,0.033667233,0,0.07254599,0.63808984,0.85807425,46230581,0.002039755,13634255,3171526,14010296,282,13935992,9574493,0.002850079,14052163,50.20753,0.03198699,0.95940614,864,0.3307866,50.680134
GTEX-11NUK-2926-SM-5A5MD,1,B1,2 pieces,7.1,Brain,Brain - Cortex,1870,1040,752,Actual Death,BP-44512,RNA Extraction from Paxgene-derived Lysate Plate Based,10/10/13,LCSET-4423,1/29/14,TrueSeq.v1,USE ME,,0.9273618,77297,0.96966326,762,0.94155276,0.8829033,0.31263015,26331,0.7220347,0.7800692,76,60.8632,0.002198872,290,64178306,85893803,0.029946132,3759775,91225690,10375214,0.6211749,148703,41473573,52022,0.028258942,0,0.08675998,0.67983377,0.8313001,62018303,0.002506119,18122412,4110843,18344083,291,18686956,10821082,0.00235018,18883060,50.260986,0.041213993,0.95574385,878,0.27796534,50.30394
GTEX-11NV4-0011-R5a-SM-5NQ88,,"B1, A1",,8.5,Brain,Brain - Caudate (basal ganglia),1873,,,Presumed Death,BP-42719,RNA isolation_PAXgene Tissue miRNA,8/26/13,LCSET-4906,3/22/14,TrueSeq.v1,USE ME,,0.94033444,62621,0.9614013,959,0.94613194,0.89264125,0.2804437,25243,0.6235156,0.82590985,76,43.5336,0.003840668,303,35165797,72211888,0.038354363,6365590,76323274,6186070,0.6813313,145270,35109778,70424,0.040258896,0,0.06876004,0.5899281,0.8445564,45025239,0.002208879,15238123,4132741,15580297,259,15547563,7210916,0.003029773,15645735,50.15736,0.083403,0.9519295,835,0.3764844,50.555145
GTEX-11NV4-0011-R6a-SM-57WD5,,"B1, A1",,6.9,Brain,Brain - Nucleus accumbens (basal ganglia),1882,,,Presumed Death,BP-42719,RNA isolation_PAXgene Tissue miRNA,8/26/13,LCSET-4415,12/21/13,TrueSeq.v1,USE ME,,0.9289754,88598,0.96361744,905,0.9405216,0.90541506,0.32680306,25327,0.6395874,0.71522915,76,51.39805,0.002185972,302,41357655,79319168,0.03603337,6754835,84335296,10311908,0.6234634,145752,38422353,66675,0.0386833,0,0.0582024,0.60154575,0.85156244,50731541,0.002729559,16766500,4451883,16953136,314,17128385,9646431,0.002454429,17419944,50.42196,0.08009499,0.9520678,856,0.3604126,50.27675
GTEX-11NV4-2126-SM-5N9DS,1,B1,2 pieces,5.8,Brain,Brain - Cortex,1870,1269,492,Presumed Death,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,9/26/13,LCSET-4904,3/22/14,TrueSeq.v1,USE ME,,0.9399282,48030,0.97484016,1042,0.94503295,0.9266931,0.29586044,23690,0.5416729,0.7087759,76,34.329784,0.002701765,240,22500992,62326921,0.024832608,4879203,65952110,2972364,0.61484116,141158,30322747,84903,0.0493011,0,0.048147075,0.51189876,0.8757555,33760805,0.002604519,13480815,3600661,13667159,234,13664066,6358829,0.002653405,13770788,50.1945,0.073980995,0.95013773,822,0.45832708,50.3432
GTEX-11O72-2926-SM-5BC4V,2,C1,4 pieces; congested meninges on 2  pieces,6.3,Brain,Brain - Cortex,1870,1039,883,Actual Death,BP-44264,RNA Extraction from Paxgene-derived Lysate Plate Based,10/3/13,LCSET-4455,1/18/14,TrueSeq.v1,USE ME,,0.8967023,57737,0.9721023,1105,0.91548353,0.8882208,0.22132331,24847,0.61630374,0.8830848,76,36.087082,0.003721521,219,31538712,66159678,0.027744148,4969833,72267470,20671790,0.7241272,143177,31685145,85669,0.044007476,0,0.08388144,0.56421596,0.81315154,40774460,0.004071944,13899551,3503651,14165366,206,14442523,5086090,0.003893138,14775999,50.570656,0.068769984,0.93426466,746,0.3836962,50.47357
GTEX-11OC5-0726-SM-5P9JK,1,B1,"2 pieces, no abnormalities",6,Brain,Brain - Cortex,1870,1425,765,Actual Death,BP-47888,RNA Extraction from Paxgene-derived Lysate Plate Based,1/6/14,LCSET-4916,3/27/14,TrueSeq.v1,USE ME,,0.9258584,87045,0.94009024,833,0.93018496,0.8663082,0.28454077,25746,0.6723026,0.7702954,76,68.52457,0.003100956,412,55167726,92419390,0.05959669,12189680,99355926,3303752,0.64857215,147090,44822900,63816,0.03613545,0,0.07378205,0.6253658,0.8058269,62133795,0.002957849,18952374,7267759,19309219,335,19234882,12520738,0.003029735,19372793,50.178604,0.12268699,0.9345115,868,0.32769743,50.466328
GTEX-11OF3-0011-R5a-SM-57WB4,,"B1, A1",,7.7,Brain,Brain - Caudate (basal ganglia),1873,,,Presumed Death,BP-42719,RNA isolation_PAXgene Tissue miRNA,8/26/13,LCSET-4415,12/21/13,TrueSeq.v1,USE ME,,0.93529576,66891,0.96310145,965,0.9449927,0.89376754,0.29589102,25513,0.65617776,0.7310046,76,41.72311,0.002370486,226,37350319,67366128,0.036562797,4982138,71287460,8178410,0.63420516,146624,32711921,70490,0.038841084,0,0.06933388,0.6200832,0.84460384,44204157,0.002819676,14339455,3680657,14431740,243,14536550,7666092,0.002592776,14821807,50.48582,0.069888,0.9546897,831,0.3438222,50.160378
GTEX-11OF3-0011-R6b-SM-57WBG,,"B1, A1",,7,Brain,Brain - Nucleus accumbens (basal ganglia),1882,,,Presumed Death,BP-42719,RNA isolation_PAXgene Tissue miRNA,8/26/13,LCSET-4415,12/21/13,TrueSeq.v1,USE ME,,0.9322105,94754,0.962244,832,0.9421808,0.8955689,0.27507856,25866,0.6597516,0.7726866,76,53.36353,0.002397641,304,45998783,81519867,0.03739122,6543093,86522530,9906746,0.61989564,147108,39551086,61061,0.034404982,0,0.066675074,0.6216053,0.84378785,53782861,0.002818594,17240797,4539211,17347360,313,17485811,9940116,0.00260589,17833860,50.49271,0.075623,0.9521512,834,0.34024844,50.154045
GTEX-11OF3-0011-R8b-SM-57WCS,,"B1, A1",,7.6,Brain,Brain - Hypothalamus,1898,,,Presumed Death,BP-42719,RNA isolation_PAXgene Tissue miRNA,8/26/13,LCSET-4415,12/21/13,TrueSeq.v1,USE ME,,0.9321702,85150,0.96371776,754,0.94227254,0.891991,0.28565887,26334,0.70496666,0.8125582,76,55.22395,0.002345576,305,54329446,79134670,0.035964146,4760564,83982784,10392862,0.66022825,148937,38358593,65943,0.036171187,0,0.071726754,0.6642707,0.8404986,55787303,0.002756613,16644677,4210204,16826040,293,16969278,9752389,0.002548891,17218270,50.364155,0.056684997,0.95237494,856,0.29503337,50.27093
GTEX-11OF3-2926-SM-5HL78,1,B1,2 pieces; cortex,6.3,Brain,Brain - Cortex,1870,958,846,Presumed Death,BP-43730,RNA Extraction from Paxgene-derived Lysate Plate Based,9/18/13,LCSET-4806,3/2/14,TrueSeq.v1,USE ME,,0.91804403,91669,0.88024104,595,0.92541003,0.6872472,0.31280476,25975,0.777618,0.8517553,76,50.23181,0.003665697,193,76871333,78177714,0.119553894,10272984,84479002,9332180,0.62627184,143671,37750097,41612,0.02251594,0,0.19299382,0.71961546,0.63598543,60792395,0.002618007,15013884,10018031,15293724,175,15363550,7775407,0.003146022,15406480,50.069756,0.121603996,0.932776,896,0.22238205,50.461666
GTEX-11ONC-0011-R8b-SM-5NQ87,,"B1, A1",,7.6,Brain,Brain - Hypothalamus,1898,,,Actual Death,BP-42719,RNA isolation_PAXgene Tissue miRNA,8/26/13,LCSET-4906,3/22/14,TrueSeq.v1,USE ME,,0.9399034,61429,0.9666977,842,0.9464428,0.8844755,0.24202935,25696,0.6530203,0.87174183,76,40.647087,0.00378489,256,36638169,67064680,0.033103984,4980942,70859726,5689160,0.67912054,146343,32558484,57217,0.031367954,0,0.08222219,0.6180464,0.8371055,43794601,0.002176071,14073705,3669807,14517845,246,14496806,6368071,0.002986039,14487829,49.984512,0.07029299,0.95298225,829,0.34697965,50.776695
GTEX-11ONC-2926-SM-5P9JM,1,B1,"2 pieces, 1 with meninges (up  to 0.77mm thick)",6.7,Brain,Brain - Cortex,1870,921,406,Actual Death,BP-47888,RNA Extraction from Paxgene-derived Lysate Plate Based,1/6/14,LCSET-4916,3/27/14,TrueSeq.v1,USE ME,,0.93939066,75045,0.9576731,689,0.9423445,0.86777824,0.30910435,26614,0.6866472,0.7866134,76,65.57348,0.002841633,307,58393946,92684884,0.04204592,6282072,98355626,2912300,0.6593662,149572,45095117,47166,0.027426893,0,0.089894935,0.6470582,0.81774604,63641811,0.00262152,19473713,5776452,19701380,307,19626431,11012785,0.002731922,19788332,50.20538,0.063870996,0.94529843,873,0.31335285,50.290577
GTEX-11PRG-2926-SM-5987A,1,C1,"4 pieces, no abnormalities",5.9,Brain,Brain - Cortex,1870,996,736,Actual Death,BP-44902,RNA Extraction from Paxgene-derived Lysate Plate Based,10/22/13,LCSET-4417,1/23/14,TrueSeq.v1,USE ME,,0.89333284,59300,0.9695862,810,0.91189736,0.8975003,0.29661638,25228,0.69380575,0.7560444,76,46.682125,0.003988165,185,44536984,67479633,0.03002349,3319380,73999156,15051568,0.619816,145634,32338860,60514,0.03441569,0,0.07208596,0.63267964,0.81842816,46817757,0.004794573,14205595,4041360,14205895,177,14543810,8339072,0.00438316,15036619,50.833,0.044857,0.9304619,859,0.30619425,50.000526
GTEX-11TTK-2926-SM-5PNYP,1,C1,4 pieces,6.1,Brain,Brain - Cortex,1870,1189,749,Actual Death,BP-47888,RNA Extraction from Paxgene-derived Lysate Plate Based,1/6/14,LCSET-4918,3/29/14,TrueSeq.v1,USE ME,,0.91946095,69552,0.9635953,931,0.9252662,0.9053619,0.25585595,24985,0.49936256,0.8277707,76,46.098995,0.002859267,389,28147263,90134000,0.036171213,10103890,97414124,3196202,0.64002436,145224,43687440,65022,0.03925124,0,0.058233418,0.4620433,0.8377007,45009543,0.002717408,19244923,5514019,19911383,371,19831502,8726554,0.002788782,19803915,49.965202,0.10372099,0.93107146,830,0.5006375,50.851032
GTEX-11TUW-0011-R5b-SM-5BC6Q,,"B1, A1",,6.2,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-43229,RNA isolation_PAXgene Tissue miRNA,9/6/13,LCSET-4455,1/18/14,TrueSeq.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-11TUW-3126-SM-5GU4Y,0,B1,"3 pieces , includes small detached fragment of cerebellum",5.8,Brain,Brain - Cortex,1870,863,832,Actual Death,BP-43753,RNA Extraction from Paxgene-derived Lysate Plate Based,9/19/13,LCSET-4803,2/19/14,TrueSeq.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-11UD1-0011-R5b-SM-5P9FP,,"B1, A1",,7.2,Brain,Brain - Caudate (basal ganglia),1873,,,Presumed Death,BP-43229,RNA isolation_PAXgene Tissue miRNA,9/6/13,LCSET-4914,3/27/14,TrueSeq.v1,USE ME,,0.93318266,68896,0.9726075,925,0.93725616,0.9217984,0.2690174,24630,0.38879463,0.70922583,76,49.402637,0.003520555,443,25098292,117525917,0.027251817,14309918,125393604,4216714,0.6601785,142991,57232412,69829,0.038062975,0,0.050809074,0.36440015,0.8639612,45693449,0.003502842,24874823,7210506,26030993,371,25828051,7814473,0.003511737,25510608,49.69083,0.11412001,0.9413296,831,0.6112053,51.135593
GTEX-11WQC-0011-R10a-SM-57WCT,,"B1, A1",,5.9,Brain,Brain - Frontal Cortex (BA9),9834,,,Actual Death,BP-43316,RNA isolation_PAXgene Tissue miRNA,9/9/13,LCSET-4415,12/21/13,TrueSeq.v1,USE ME,,0.9239565,58613,0.96047825,1006,0.935877,0.89237547,0.2620842,24155,0.64045656,0.8039335,76,35.495796,0.002558442,191,30870582,59128120,0.0392635,5520486,63179370,7538622,0.6751447,141127,28600296,80386,0.04402727,0,0.06810281,0.5993886,0.8351537,37868990,0.003075346,12354107,3714658,12600499,190,12709756,5806970,0.002813602,12879868,50.332386,0.08737799,0.9477976,822,0.35954347,50.493683
GTEX-11WQC-0011-R5a-SM-5BC74,,"B1, A1",,8.1,Brain,Brain - Caudate (basal ganglia),1873,,,Actual Death,BP-43229,RNA isolation_PAXgene Tissue miRNA,9/6/13,LCSET-4455,1/18/14,TrueSeq.v1,USE ME,,0.899041,54325,0.97002476,1123,0.9156086,0.91123587,0.26196292,24409,0.4890347,0.8432891,76,29.43018,0.003795985,229,20242769,67220567,0.029801311,7035848,73416276,19619086,0.6923988,142747,32260486,86408,0.044313114,0,0.058788955,0.4477644,0.8343354,32873192,0.004094748,14343758,4581982,14504397,220,14648041,4818821,0.003942663,15242935,50.995106,0.09583499,0.9321761,769,0.5109653,50.27842
