Assay_Type_s	AssemblyName_s	AvgSpotLen_l	BioSample_s	Center_Name_s	Experiment_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	data_type_s	instrument_name_s	lane_s	library_type_s	product_order_s	product_part_number_s	work_request_s	BioProject_s	Consent_s	Organism_s	Platform_s	SRA_Study_s
RNA-Seq	GRCh37	152	SAMN00992756	BI	SRX198142	182	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85363	2014-10-02	7868	4129	2012-10-19	SRR598100	SRS333268	GTEX-P4QT-2626-SM-2I3FM							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992418	BI	SRX198145	175	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85148	2014-10-02	8060	4560	2012-10-19	SRR598124	SRS332930	GTEX-NPJ8-0011-R4a-SM-2HML3							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992766	BI	SRX198148	177	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85082	2014-10-02	7783	4375	2012-10-19	SRR598148	SRS333278	GTEX-NPJ8-0426-SM-2HMK6							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992558	BI	SRX198152	168	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85365	2014-10-02	7656	4068	2012-10-19	SRR598638	SRS333070	GTEX-NL3H-0011-R5a-SM-2I3GB							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00993015	BI	SRX198155	206	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85371	2014-10-02	7542	4046	2012-10-19	SRR598172	SRS333527	GTEX-OXRP-0006-SM-2I3FN							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992917	BI	SRX198156	171	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85396	2014-10-02	7459	3878	2012-10-19	SRR598196	SRS333429	GTEX-N7MT-0011-R6a-SM-2I3G3							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992513	BI	SRX198159	179	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85435	2014-10-02	6436	3508	2012-10-19	SRR598509	SRS333025	GTEX-N7MT-1326-SM-2I3FV							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992526	BI	SRX198165	217	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86344	2014-10-02	10156	5868	2012-10-19	SRR598220	SRS333038	GTEX-QEG5-0006-SM-2I5FZ							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992443	BI	SRX198166	177	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85085	2014-10-02	9657	5304	2012-10-19	SRR598253	SRS332955	GTEX-Q2AG-0011-R6A-SM-2HML7							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992416	BI	SRX198171	179	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85366	2014-10-02	6953	3602	2012-10-19	SRR598484	SRS332928	GTEX-PW2O-0526-SM-2I3DX							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992447	BI	SRX198172	179	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85123	2014-10-02	6746	3800	2012-10-19	SRR598276	SRS332959	GTEX-N7MS-0011-R7a-SM-2HMKN							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00993052	BI	SRX198179	173	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85414	2014-10-02	18192	9824	2012-10-19	SRR598300	SRS333564	GTEX-PX3G-0006-SM-2I3E4							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992568	BI	SRX198181	177	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86285	2014-10-02	9473	5494	2012-10-19	SRR598332	SRS333080	GTEX-P44G-2426-SM-2I5ER							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992492	BI	SRX198185	188	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86360	2015-04-09	11879	6827	2012-10-19	SRR598364	SRS333004	GTEX-QLQ7-0726-SM-2I5G2							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992829	BI	SRX198189	176	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86324	2014-10-02	7545	4309	2012-10-19	SRR598396	SRS333341	GTEX-P44G-2526-SM-2I5EK							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992471	BI	SRX198194	177	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85080	2014-10-02	9443	5200	2012-10-19	SRR598428	SRS332983	GTEX-Q2AG-0011-R5A-SM-2HMJH							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992961	BI	SRX198198	174	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86335	2014-10-02	11168	6501	2012-10-19	SRR598533	SRS333473	GTEX-OHPN-0011-R11A-SM-2I5FM							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992719	BI	SRX198199	192	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86371	2014-10-02	14336	8202	2012-10-19	SRR598452	SRS333231	GTEX-OHPN-2726-SM-2I5H4							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992969	BI	SRX198205	180	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85352	2014-10-02	7873	4078	2012-10-19	SRR598565	SRS333481	GTEX-Q2AI-0326-SM-2I3EK							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00993090	BI	SRX198208	184	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86318	2014-10-02	11238	6446	2012-10-19	SRR598589	SRS333602	GTEX-PLZ5-0626-SM-2I5F8							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992965	BI	SRX198210	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Solexa-86359	2014-10-02	9985	5778	2012-10-19	SRR599086	SRS333477	GTEX-PSDG-0926-SM-2I5FP							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992802	BI	SRX198215	170	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85383	2014-10-02	10918	6136	2012-10-19	SRR598645	SRS333314	GTEX-PWOO-0926-SM-2I3EC							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992948	BI	SRX198221	176	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85444	2014-10-02	6546	3526	2012-10-19	SRR598671	SRS333460	GTEX-N7MT-0011-R4a-SM-2I3G9							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992464	BI	SRX198223	173	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85113	2014-10-02	13190	7157	2012-10-19	SRR598695	SRS332976	GTEX-Q2AG-1026-SM-2HMJX							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992753	BI	SRX198227	201	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85406	2014-10-02	6444	3483	2012-10-19	SRR598725	SRS333265	GTEX-PWOO-0006-SM-2I3E3							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	202	SAMN00992475	BI	SRX198230	241	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-74473	2014-10-02	4454	2332	2012-10-19	SRR598749	SRS332987	K-562-SM-2D7VY							27435	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992609	BI	SRX198231	169	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85386	2014-10-02	7669	3935	2012-10-19	SRR599225	SRS333121	GTEX-P44G-0011-R11A-SM-2I3FD							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	145	SAMN00993031	BI	SRX198237	173	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86305	2014-10-02	17560	9736	2012-10-19	SRR599154	SRS333543	GTEX-QMRM-0826-SM-2I5G7							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992461	BI	SRX198243	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Solexa-86340	2014-10-02	8789	5111	2012-10-19	SRR599281	SRS332973	GTEX-OXRO-0006-SM-2I5EM							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992487	BI	SRX198248	173	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85403	2014-10-02	15153	8508	2012-10-19	SRR599313	SRS332999	GTEX-QDVN-2126-SM-2I3FR							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992896	BI	SRX198252	188	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86289	2014-10-02	11006	6413	2012-10-19	SRR599249	SRS333408	GTEX-QESD-0526-SM-2I5G5							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	142	SAMN00993002	BI	SRX198253	176	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86310	2014-10-02	14154	8173	2012-10-19	SRR599346	SRS333514	GTEX-P78B-0526-SM-2I5F7							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	144	SAMN00992786	BI	SRX198263	176	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86313	2014-10-02	17088	9991	2012-10-19	SRR599412	SRS333298	GTEX-QMRM-0726-SM-2I5G8							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992647	BI	SRX198267	180	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86356	2014-10-02	8675	5034	2012-10-19	SRR599122	SRS333159	GTEX-P44G-0626-SM-2I5EO							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992420	BI	SRX198273	167	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85420	2014-10-02	12326	7292	2012-10-19	SRR599192	SRS332932	GTEX-N7MT-0011-R5a-SM-2I3G6							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992769	BI	SRX198277	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Solexa-86368	2014-10-02	12000	6916	2012-10-19	SRR599380	SRS333281	GTEX-QLQ7-0526-SM-2I5G3							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992868	BI	SRX198280	163	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85437	2014-10-02	6765	3734	2012-10-19	SRR599448	SRS333380	GTEX-NL3H-0011-R4a-SM-2I3GK							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992450	BI	SRX198284	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Solexa-86303	2014-10-02	8915	5207	2012-10-19	SRR598894	SRS332962	GTEX-OHPN-0011-R7A-SM-2I5FI							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00993023	BI	SRX198300	167	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85394	2014-10-02	6872	3566	2012-10-19	SRR598768	SRS333535	GTEX-P44G-0011-R1A-SM-2I3FE							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	142	SAMN00992693	BI	SRX198318	204	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86322	2014-10-02	14090	8161	2012-10-19	SRR598792	SRS333205	GTEX-QDVN-0926-SM-2I5GL							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992726	BI	SRX198329	173	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85153	2014-10-02	25003	12678	2012-10-19	SRR598831	SRS333238	GTEX-Q2AG-0005-SM-2HMK3							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00993029	BI	SRX198334	171	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85421	2014-10-02	5566	2987	2012-10-19	SRR599486	SRS333541	GTEX-N7MT-0011-R2a-SM-2I3GI							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992466	BI	SRX198338	169	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85074	2014-10-02	8085	4527	2012-10-19	SRR598862	SRS332978	GTEX-Q2AG-0011-R8A-SM-2HMK5							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	148	SAMN00992478	BI	SRX198348	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Solexa-86327	2014-10-02	23970	11678	2012-10-19	SRR599510	SRS332990	GTEX-OHPN-0011-R10A-SM-2I5FL							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992960	BI	SRX198968	181	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85428	2014-10-02	7519	3930	2012-10-22	SRR600348	SRS333472	GTEX-NPJ7-0011-R6a-SM-2I3G7							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992522	BI	SRX198971	166	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85412	2014-10-02	11149	6326	2012-10-22	SRR600533	SRS333034	GTEX-NL3H-0011-R7a-SM-2I3G5							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992531	BI	SRX198976	170	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85390	2014-10-02	6480	3372	2012-10-22	SRR600361	SRS333043	GTEX-N7MT-0011-R10A-SM-2I3E1							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992695	BI	SRX198979	188	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86333	2014-10-02	10419	6027	2012-10-22	SRR600385	SRS333207	GTEX-PWO3-0011-R3A-SM-2I5EX							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992816	BI	SRX198983	192	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85146	2014-10-02	9014	4971	2012-10-22	SRR600632	SRS333328	GTEX-P4PP-0526-SM-2HMKE							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992732	BI	SRX198986	194	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85439	2014-10-02	14919	8409	2012-10-22	SRR600417	SRS333244	GTEX-Q2AI-0526-SM-2I3EJ							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992430	BI	SRX198992	197	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85114	2014-10-02	8298	4584	2012-10-22	SRR600445	SRS332942	GTEX-Q2AG-0011-R4A-SM-2HMKA							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992795	BI	SRX198997	176	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85071	2014-10-02	7993	4406	2012-10-22	SRR600560	SRS333307	GTEX-N7MS-0011-R6a-SM-2HMJ4							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992937	BI	SRX198998	188	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85384	2014-10-02	7124	3732	2012-10-22	SRR600474	SRS333449	GTEX-PX3G-0326-SM-2I3EO							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	146	SAMN00992437	BI	SRX199002	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Solexa-86280	2014-10-02	24824	13427	2012-10-22	SRR600493	SRS332949	GTEX-PSDG-0226-SM-2I5FR							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992710	BI	SRX199007	203	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85118	2014-10-02	7741	4350	2012-10-22	SRR600584	SRS333222	GTEX-OHPL-0526-SM-2HMIX							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992575	BI	SRX199011	175	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85445	2014-10-02	8632	4496	2012-10-22	SRR600608	SRS333087	GTEX-NL3H-0011-R3a-SM-2I3GL							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992970	BI	SRX199016	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Solexa-86306	2014-10-02	10320	5930	2012-10-22	SRR600656	SRS333482	GTEX-QEG5-0426-SM-2I5GJ							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	145	SAMN00992919	BI	SRX199019	188	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86323	2014-10-02	21817	12608	2012-10-22	SRR600688	SRS333431	GTEX-O5YV-0006-SM-2I5GX							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992738	BI	SRX199028	173	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85125	2014-10-02	15152	8739	2012-10-22	SRR600724	SRS333250	GTEX-NPJ8-0011-R1a-SM-2HMLC							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992962	BI	SRX199032	197	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86351	2014-10-02	12357	7110	2012-10-24	SRR606939	SRS333474	GTEX-POMQ-0326-SM-2I5FO							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992498	BI	SRX199036	218	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85067	2014-10-02	8232	4696	2012-10-24	SRR607067	SRS333010	GTEX-OOBK-1626-SM-2HMKG							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	136	SAMN00992778	BI	SRX199040	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Solexa-86362	2014-10-02	11256	6506	2012-10-24	SRR607219	SRS333290	GTEX-OIZF-0006-SM-2I5GQ							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992496	BI	SRX199042	168	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85382	2014-10-02	6293	3312	2012-10-22	SRR600754	SRS333008	GTEX-N7MT-0011-R11A-SM-2I3DZ							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	202	SAMN00992516	BI	SRX199044	219	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-74468	2014-10-02	5406	2649	2012-10-22	SRR600784	SRS333028	GTEX-N7MT-0126-SM-2D7VT							27435	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00993054	BI	SRX199051	181	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85401	2014-10-02	14086	7808	2012-10-22	SRR600786	SRS333566	GTEX-P44G-0226-SM-2I3F3							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	145	SAMN00992979	BI	SRX199055	173	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-86314	2014-10-02	15931	8581	2012-10-22	SRR600829	SRS333491	GTEX-QEG4-0426-SM-2I5GK							28308	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00992697	BI	SRX199060	188	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85393	2014-10-02	7098	3703	2012-10-22	SRR600852	SRS333209	GTEX-OXRL-0326-SM-2I3F2							28307	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
RNA-Seq	GRCh37	152	SAMN00993070	BI	SRX199063	174	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-85152	2014-10-02	7486	4112	2012-10-22	SRR600876	SRS333582	GTEX-Q2AG-2826-SM-2HMJQ							28255	PRJNA75899	GRU	Homo sapiens	ILLUMINA	SRP012682
